Term 1,Term 2,Error Degree,Weight,Identity Set ID,,
http://dbpedia.org/resource/Beyblade,http://rdf.freebase.com/ns/m/03hsp2,0.52,1,251526,,
http://dbpedia.org/resource/Royal_Penguin,http://rdf.freebase.com/ns/m/034zxc,0.62,1,629767,,
http://dbpedia.org/resource/Lip_sync,http://rdf.freebase.com/ns/m/031b0m,0.72,1,5004766,,
http://dbpedia.org/resource/Awadh,http://rdf.freebase.com/ns/m/022tm_,0.79,1,5385,,
http://dbpedia.org/resource/Gary_Sanchez_Productions,http://rdf.freebase.com/ns/m/0gnw24,0.79,1,18788429,,
http://dbpedia.org/resource/Durango_class_patrol_vessel,http://rdf.freebase.com/ns/m/02wbt4g,0.8,1,18350985,,
http://dbpedia.org/resource/Fluid_Concepts_and_Creative_Analogies,http://rdf.freebase.com/ns/m/03cwj58,0.8,1,18658370,,
http://dbpedia.org/resource/Trophic_state_index,http://rdf.freebase.com/ns/m/03nws6n,0.8,1,4852034,,
http://dbpedia.org/resource/Cognomen,http://rdf.freebase.com/ns/m/01k1z_,0.81,1,4628649,,
http://dbpedia.org/resource/Ohio_State_Route_124,http://rdf.freebase.com/ns/m/0266513,0.83,1,19135485,,
http://dbpedia.org/resource/Quebec_City_Armoury,http://rdf.freebase.com/ns/m/0407q_p,0.83,1,20191655,,
http://dbpedia.org/resource/Symmetry_in_biology,http://rdf.freebase.com/ns/m/04bg9x,0.83,1,5049872,,
http://dbpedia.org/resource/Garuda_Indonesia_Flight_421,http://rdf.freebase.com/ns/m/04lgyr7,0.83,1,18786114,,
http://dbpedia.org/resource/Purtscher_retinopathy,http://rdf.freebase.com/ns/m/07kjn28,0.83,1,152701,,
http://dbpedia.org/resource/Les_Incomp%C3%A9tents,http://rdf.freebase.com/ns/m/0bw79s,0.83,1,19903337,,
http://dbpedia.org/resource/Soleidae,http://rdf.freebase.com/ns/m/02fwxn,0.84,1,36992,,
http://dbpedia.org/resource/Killers_from_Space,http://rdf.freebase.com/ns/m/02700s3,0.86,1,14723225,,
http://dbpedia.org/resource/Christine_McCafferty,http://rdf.freebase.com/ns/m/0282s_,0.86,1,17891623,,
http://dbpedia.org/resource/Northamptonshire_Regiment,http://rdf.freebase.com/ns/m/02q98zj,0.86,1,20684577,,
http://dbpedia.org/resource/MTV_Base,http://rdf.freebase.com/ns/m/02wdv8,0.86,1,20146002,,
http://dbpedia.org/resource/RMS_Caronia,http://rdf.freebase.com/ns/m/02x56p,0.86,1,21140625,,
http://dbpedia.org/resource/Pavlovo-Posadsky_District,http://rdf.freebase.com/ns/m/03fm5l,0.86,1,232339,,
http://dbpedia.org/resource/Teo_Chee_Hean,http://rdf.freebase.com/ns/m/03z6ls,0.86,1,15738793,,
http://dbpedia.org/resource/2001_Humanitarian_Bowl,http://rdf.freebase.com/ns/m/046530z,0.86,1,15885694,,
http://dbpedia.org/resource/Ababu_Namwamba,http://rdf.freebase.com/ns/m/047m2my,0.86,1,16051470,,
http://dbpedia.org/resource/Far_North_Line,http://rdf.freebase.com/ns/m/05rx49,0.86,1,6128022,,
http://dbpedia.org/resource/John_Comaroff,http://rdf.freebase.com/ns/m/05zlt1r,0.86,1,10477845,,
http://dbpedia.org/resource/Arriva_London,http://rdf.freebase.com/ns/m/06txkw,0.86,1,16355554,,
http://dbpedia.org/resource/Zheng_Zhu,http://rdf.freebase.com/ns/m/09g89qg,0.86,1,22750029,,
http://dbpedia.org/resource/Newmarket_Town_F.C.,http://rdf.freebase.com/ns/m/09yyx8,0.86,1,20626824,,
http://dbpedia.org/resource/This_Is_Not_My_Life,http://rdf.freebase.com/ns/m/0cnyt_z,0.86,1,22190059,,
http://dbpedia.org/resource/NEMA_connector,http://rdf.freebase.com/ns/m/0ds47w,0.86,1,18350321,,
http://dbpedia.org/resource/Jonathan_Baillie,http://rdf.freebase.com/ns/m/02pykmf,0.87,1,19548984,,
http://dbpedia.org/resource/Anand_Sai,http://rdf.freebase.com/ns/m/0g83nt,0.87,1,16248706,,
http://dbpedia.org/resource/Kshitij,http://rdf.freebase.com/ns/m/0gw0z0,0.87,1,19781232,,
http://dbpedia.org/resource/Ern_Malley,http://rdf.freebase.com/ns/m/01xjcg,0.88,1,18499030,,
http://dbpedia.org/resource/Jack_Pickering,http://rdf.freebase.com/ns/m/0275z1l,0.88,1,19372119,,
http://dbpedia.org/resource/Nelly_Greisen,http://rdf.freebase.com/ns/m/02pm89q,0.88,1,20596621,,
http://dbpedia.org/resource/Bart_Palaszewski,http://rdf.freebase.com/ns/m/02pvlk8,0.88,1,16510586,,
http://dbpedia.org/resource/Walter_Flowers,http://rdf.freebase.com/ns/m/02qhdcb,0.88,1,22535657,,
http://dbpedia.org/resource/Sengge_Rinchen,http://rdf.freebase.com/ns/m/02w1z_2,0.88,1,5795715,,
http://dbpedia.org/resource/Balabusta,http://rdf.freebase.com/ns/m/03d6zc9,0.88,1,16474664,,
http://dbpedia.org/resource/Yamaha_Virago,http://rdf.freebase.com/ns/m/03zc0n,0.88,1,22697159,,
http://dbpedia.org/resource/John_Garth,http://rdf.freebase.com/ns/m/0411lq4,0.88,1,19510733,,
http://dbpedia.org/resource/Prilep-Bitola_dialect,http://rdf.freebase.com/ns/m/0412kt7,0.88,1,1189996,,
http://dbpedia.org/resource/India_Cements,http://rdf.freebase.com/ns/m/0416jhb,0.88,1,19281214,,
http://dbpedia.org/resource/Drone_music,http://rdf.freebase.com/ns/m/052smk,0.88,1,5864476,,
http://dbpedia.org/resource/Faten_Hamama,http://rdf.freebase.com/ns/m/05757k,0.88,1,426424,,
http://dbpedia.org/resource/I_Lost_It,http://rdf.freebase.com/ns/m/05b4wt3,0.88,1,19242243,,
http://dbpedia.org/resource/Vincenzo_Iaquinta,http://rdf.freebase.com/ns/m/05z1yg,0.88,1,436761,,
http://dbpedia.org/resource/Robert_Wangila,http://rdf.freebase.com/ns/m/06sprg,0.88,1,21288384,,
http://dbpedia.org/resource/Balance_spring,http://rdf.freebase.com/ns/m/0803v_,0.88,1,582253,,
http://dbpedia.org/resource/Charles_Boissevain,http://rdf.freebase.com/ns/m/09v2f3f,0.88,1,17820733,,
http://dbpedia.org/resource/Billy_Keikeya,http://rdf.freebase.com/ns/m/0bkp9_,0.88,1,16620052,,
http://dbpedia.org/resource/Ramesh_Bais,http://rdf.freebase.com/ns/m/0g2m7k,0.88,1,21167809,,
http://dbpedia.org/resource/Renato_Tosio,http://rdf.freebase.com/ns/m/0gmcmy,0.88,1,9912898,,
http://dbpedia.org/resource/Trip_Lee,http://rdf.freebase.com/ns/m/02rw29w,0.89,1,22298490,,
http://dbpedia.org/resource/La_Puebla_del_R%C3%ADo,http://rdf.freebase.com/ns/m/02z7cb5,0.89,1,110146,,
http://dbpedia.org/resource/Gundlach_Bundschu,http://rdf.freebase.com/ns/m/03d5tkx,0.89,1,18971279,,
http://dbpedia.org/resource/Sentinelese_people,http://rdf.freebase.com/ns/m/04tlr6,0.89,1,4589574,,
http://dbpedia.org/resource/Moveable_feast,http://rdf.freebase.com/ns/m/0550j,0.89,1,4859316,,
http://dbpedia.org/resource/Bures_St._Mary,http://rdf.freebase.com/ns/m/095gby,0.89,1,16783636,,
http://dbpedia.org/resource/George_Ferrers,http://rdf.freebase.com/ns/m/0gz2_c,0.89,1,18817120,,
http://dbpedia.org/resource/Kriszti%C3%A1n_N%C3%A9meth,http://rdf.freebase.com/ns/m/02q8lq6,0.9,1,5955476,,
http://dbpedia.org/resource/Information_graphics,http://rdf.freebase.com/ns/m/03xc_j,0.9,1,532111,,
http://dbpedia.org/resource/%C5%A0krdlovice,http://rdf.freebase.com/ns/m/07kffll,0.9,1,5818724,,
http://dbpedia.org/resource/Daughter,http://rdf.freebase.com/ns/m/029wnx,0.91,1,9114,,
http://dbpedia.org/resource/Hadersdorf-Kammern,http://rdf.freebase.com/ns/m/02qxcmy,0.91,1,19012422,,
http://dbpedia.org/resource/Vailly-sur-Aisne,http://rdf.freebase.com/ns/m/03m7qxt,0.91,1,4707747,,
http://dbpedia.org/resource/Alcamenes,http://rdf.freebase.com/ns/m/0r4g,0.91,1,4721631,,
http://dbpedia.org/resource/Karl_Ludwig_Hencke,http://rdf.freebase.com/ns/m/02sbyh,0.92,1,792597,,
http://dbpedia.org/resource/Montlevon,http://rdf.freebase.com/ns/m/03m7nh2,0.92,1,4704144,,
http://dbpedia.org/resource/Northanger_Abbey,http://rdf.freebase.com/ns/m/0bdfv,0.92,1,1176765,,
http://dbpedia.org/resource/Salasco,http://rdf.freebase.com/ns/m/0g8r69,0.92,1,1134952,,
http://dbpedia.org/resource/Fuentespalda,http://rdf.freebase.com/ns/m/02z9qxc,0.93,1,106118,,
http://dbpedia.org/resource/Botany_Bay,http://rdf.freebase.com/ns/m/07hyq_,0.93,1,6859,,
http://dbpedia.org/resource/Mount_Athos,http://rdf.freebase.com/ns/m/014wrg,0.94,1,6066,,
http://dbpedia.org/resource/Harrow_School,http://rdf.freebase.com/ns/m/019vsw,1,1,52534,,
